soil,temperature,humidity,rainfall,ph,season,region,irrigation,crop
Sandy,28.52,57.05,77.61,6.52,Zaid,South,Medium,Groundnut
Loamy,21.19,66.38,82.51,6.09,Kharif,Central,Medium,Soybean
Loamy,30.01,75.02,182.88,6.17,Kharif,North,High,Sugarcane
Sandy,18.25,57.91,74.16,6.81,Zaid,Central,Medium,Maize
Loamy,18.18,44.69,67.54,7.54,Rabi,West,Low,Barley
Clay,20.5,48.5,75.04,6.72,Rabi,Central,Medium,Wheat
Black,32.48,45.8,73.6,7.72,Kharif,West,Low,Cotton
Loamy,18.8,56.02,108.0,7.07,Rabi,Central,Medium,Wheat
Clay,14.88,57.9,70.25,6.39,Rabi,West,Medium,Wheat
Sandy,32.05,55.14,37.52,5.67,Kharif,West,Low,Millet
Loamy,29.97,55.6,117.79,6.98,Kharif,Central,Medium,Soybean
Black,34.3,52.13,91.57,5.86,Kharif,South,Medium,Cotton
Red,32.51,51.27,72.11,6.31,Kharif,Central,Low,Millet
Red,31.67,64.6,57.76,6.55,Kharif,West,Medium,Groundnut
Clay,14.62,55.32,115.53,7.47,Rabi,North,Medium,Wheat
Loamy,25.28,61.12,95.43,5.64,Kharif,South,Medium,Maize
Sandy,27.24,35.57,66.86,7.15,Kharif,Central,Low,Millet
Red,24.42,51.97,93.75,6.1,Kharif,South,Low,Groundnut
Black,24.03,62.3,91.21,6.99,Kharif,South,Low,Cotton
Sandy,20.27,54.19,79.79,6.78,Rabi,West,Low,Barley
Sandy,27.29,52.06,74.41,6.16,Kharif,Central,Low,Millet
Loamy,23.35,52.57,103.95,6.81,Rabi,West,Medium,Wheat
Clay,13.96,58.37,76.37,6.93,Rabi,North,Medium,Wheat
Sandy,33.85,47.08,83.66,6.05,Kharif,South,Low,Millet
Clay,29.85,70.36,195.28,6.49,Kharif,East,Medium,Rice
Red,30.62,45.57,55.6,5.89,Kharif,South,Low,Millet
Sandy,25.62,46.21,50.51,6.14,Zaid,South,Low,Groundnut
Loamy,22.97,54.42,125.95,7.35,Kharif,North,Medium,Maize
Black,26.95,68.32,136.35,6.42,Kharif,West,Medium,Soybean
Loamy,33.12,66.43,158.98,6.31,Zaid,North,High,Sugarcane
Loamy,28.68,67.53,137.24,7.74,Zaid,East,High,Sugarcane
Clay,31.38,72.9,130.21,6.91,Zaid,North,High,Sugarcane
Loamy,28.76,59.86,112.16,6.34,Kharif,West,Medium,Soybean
Sandy,16.72,53.16,64.15,6.09,Rabi,North,Low,Mustard
Loamy,16.7,46.8,55.42,7.17,Rabi,Central,Medium,Wheat
Loamy,27.43,59.94,82.87,6.54,Kharif,West,Medium,Soybean
Black,33.86,51.22,103.19,6.01,Kharif,South,Low,Cotton
Loamy,26.92,81.99,310.37,5.22,Kharif,North,High,Rice
Black,32.39,63.61,77.17,7.84,Kharif,South,Medium,Cotton
Sandy,27.57,49.74,57.31,6.1,Kharif,West,Low,Millet
Black,21.33,46.41,101.22,6.32,Kharif,South,Low,Cotton
Sandy,19.64,44.77,32.27,7.62,Rabi,Central,Low,Mustard
Red,26.48,54.48,47.16,5.64,Kharif,West,Low,Millet
Loamy,20.43,62.56,146.0,6.72,Kharif,Central,Medium,Soybean
Sandy,26.9,61.37,63.54,6.53,Zaid,South,Low,Groundnut
Clay,31.92,87.83,284.81,6.6,Kharif,South,High,Rice
Red,28.83,40.35,85.0,7.45,Kharif,West,Low,Millet
Loamy,24.69,55.46,71.99,6.95,Kharif,Central,Medium,Cotton
Clay,15.04,48.21,109.64,6.88,Rabi,North,Low,Wheat
Loamy,17.4,41.46,48.91,6.2,Rabi,West,Medium,Barley
Sandy,24.43,45.88,85.46,7.36,Kharif,West,Medium,Groundnut
Loamy,14.61,57.36,66.85,7.31,Rabi,North,Medium,Barley
Loamy,28.68,79.67,106.88,7.53,Kharif,East,High,Sugarcane
Red,27.74,52.24,40.55,5.94,Kharif,West,Low,Millet
Sandy,30.86,56.16,78.53,6.68,Zaid,West,Low,Groundnut
Loamy,30.37,83.17,108.97,6.2,Kharif,East,High,Sugarcane
Loamy,17.9,59.84,51.77,7.81,Rabi,North,Medium,Barley
Loamy,30.95,83.44,208.28,6.04,Zaid,North,High,Sugarcane
Red,26.24,49.94,70.86,7.14,Zaid,South,Low,Groundnut
Sandy,31.92,59.09,53.04,6.67,Kharif,West,Low,Groundnut
Loamy,23.4,51.85,62.41,7.02,Rabi,West,Low,Wheat
Loamy,14.28,52.56,27.99,6.57,Rabi,West,Low,Mustard
Black,26.35,67.47,93.38,6.2,Kharif,West,Medium,Soybean
Loamy,24.42,45.28,109.2,6.29,Kharif,West,Medium,Cotton
Loamy,14.43,48.72,86.54,6.7,Rabi,West,Medium,Wheat
Clay,14.43,55.84,99.1,7.43,Rabi,Central,Low,Wheat
Loamy,29.31,50.56,108.11,7.03,Zaid,Central,Medium,Maize
Black,27.53,68.16,122.08,7.36,Kharif,West,Medium,Soybean
Red,22.1,59.3,65.4,6.76,Kharif,South,Low,Groundnut
Loamy,21.47,76.62,104.03,6.5,Kharif,North,High,Sugarcane
Loamy,33.5,61.31,57.46,6.45,Kharif,Central,Low,Cotton
Loamy,17.59,45.11,105.07,6.5,Rabi,West,Low,Wheat
Clay,20.97,62.89,69.08,6.17,Rabi,North,Low,Wheat
Loamy,24.53,81.8,193.31,6.11,Kharif,East,High,Rice
Sandy,20.73,51.26,129.39,6.11,Kharif,South,Medium,Maize
Loamy,21.87,57.96,104.72,6.64,Rabi,West,Low,Wheat
Sandy,23.36,63.37,53.02,6.02,Kharif,South,Low,Groundnut
Sandy,15.69,51.62,40.32,7.82,Rabi,North,Low,Barley
Loamy,21.04,42.04,86.99,6.14,Rabi,West,Low,Barley
Loamy,30.3,86.17,224.4,6.72,Kharif,South,Medium,Rice
Red,34.1,40.38,48.6,6.43,Kharif,South,Low,Millet
Sandy,30.01,45.75,51.68,6.69,Kharif,South,Low,Groundnut
Sandy,21.09,67.32,138.99,5.8,Kharif,North,Medium,Maize
Sandy,23.36,53.22,76.5,6.16,Kharif,West,Medium,Groundnut
Clay,31.09,70.04,186.7,7.65,Zaid,East,High,Sugarcane
Loamy,33.53,78.91,159.64,6.86,Kharif,North,High,Sugarcane
Loamy,24.29,47.64,70.3,7.59,Kharif,Central,Medium,Cotton
Loamy,12.97,40.66,52.3,7.35,Rabi,North,Low,Mustard
Sandy,29.8,60.3,92.27,7.35,Kharif,North,Medium,Maize
Sandy,25.66,42.91,53.88,5.99,Kharif,West,Low,Millet
Sandy,19.94,56.99,54.65,7.91,Rabi,North,Low,Barley
Loamy,21.83,74.08,147.49,7.45,Kharif,Central,Medium,Soybean
Black,27.91,66.69,70.75,6.85,Kharif,Central,Medium,Soybean
Loamy,20.34,51.45,135.94,6.31,Kharif,Central,Medium,Maize
Red,23.0,46.44,51.54,7.37,Zaid,South,Low,Groundnut
Loamy,21.07,49.61,88.13,6.64,Kharif,South,Medium,Cotton
Sandy,10.23,49.1,70.9,6.92,Rabi,West,Low,Barley
Red,25.79,62.3,56.59,6.9,Kharif,South,Low,Groundnut
Sandy,18.07,38.46,57.87,7.02,Rabi,West,Low,Mustard
Black,28.12,71.37,129.1,7.44,Kharif,Central,Medium,Soybean
Loamy,31.71,56.18,94.97,7.95,Kharif,West,Medium,Cotton
Clay,31.8,61.42,193.23,6.68,Zaid,North,High,Sugarcane
Sandy,28.07,64.45,72.47,6.1,Zaid,South,Medium,Groundnut
Black,28.27,62.04,112.99,6.67,Kharif,Central,Medium,Soybean
Sandy,19.72,49.31,32.38,6.02,Rabi,Central,Low,Mustard
Clay,26.37,83.86,134.41,7.56,Zaid,South,High,Sugarcane
Loamy,11.34,42.16,37.31,7.65,Rabi,West,Low,Mustard
Black,30.08,69.2,53.46,7.83,Kharif,South,Medium,Cotton
Sandy,32.92,43.51,82.49,6.05,Kharif,Central,Low,Millet
Sandy,24.68,41.45,78.24,7.0,Kharif,Central,Low,Millet
Sandy,21.75,74.24,118.65,6.24,Zaid,Central,Medium,Maize
Black,20.27,57.77,133.83,6.7,Kharif,West,Medium,Soybean
Loamy,25.57,72.05,111.08,6.54,Zaid,Central,Medium,Maize
Loamy,31.16,79.62,225.97,5.96,Kharif,North,Medium,Rice
Clay,33.32,63.5,215.16,7.07,Zaid,North,High,Sugarcane
Clay,24.87,83.81,173.82,6.69,Kharif,East,High,Sugarcane
Loamy,28.29,63.86,136.43,7.6,Zaid,South,High,Sugarcane
Clay,23.45,72.07,262.27,5.31,Kharif,East,Medium,Rice
Clay,22.25,88.55,242.75,5.55,Kharif,East,Medium,Rice
Sandy,10.4,41.39,35.55,7.78,Rabi,North,Low,Mustard
Sandy,11.44,59.98,60.62,6.0,Rabi,North,Low,Barley
Loamy,31.21,64.97,89.87,7.66,Kharif,West,Low,Cotton
Loamy,22.92,72.46,170.59,6.0,Zaid,East,High,Sugarcane
Sandy,29.01,74.6,88.16,6.78,Zaid,South,Medium,Maize
Loamy,26.51,61.45,142.51,6.45,Kharif,West,Medium,Soybean
Sandy,29.92,48.34,55.47,7.41,Kharif,West,Medium,Groundnut
Black,24.5,48.49,101.63,6.3,Kharif,West,Low,Cotton
Sandy,25.81,42.2,60.6,7.17,Kharif,Central,Low,Millet
Sandy,14.77,48.23,49.39,7.51,Rabi,North,Low,Barley
Loamy,15.11,59.18,87.22,7.43,Rabi,North,Low,Barley
Red,24.01,46.84,32.34,6.05,Kharif,West,Low,Millet
Sandy,22.23,67.79,61.48,6.38,Kharif,South,Medium,Maize
Sandy,25.75,47.16,44.62,5.97,Kharif,West,Low,Millet
Sandy,24.59,49.88,89.03,6.56,Kharif,South,Low,Millet
Loamy,32.58,74.07,210.3,6.54,Kharif,North,High,Sugarcane
Loamy,19.62,46.36,43.56,6.27,Rabi,North,Low,Mustard
Loamy,31.8,82.23,187.63,6.11,Kharif,East,High,Rice
Sandy,14.76,44.18,71.82,6.55,Rabi,Central,Low,Mustard
Black,22.61,58.16,137.42,6.13,Kharif,Central,Medium,Soybean
Black,29.41,59.39,78.01,7.18,Kharif,West,Medium,Soybean
Loamy,16.01,49.88,113.89,7.39,Rabi,West,Medium,Wheat
Sandy,27.05,71.06,129.52,5.57,Kharif,South,Medium,Maize
Loamy,28.54,89.4,317.84,5.52,Kharif,North,Medium,Rice
Red,29.35,64.48,103.31,6.38,Zaid,South,Medium,Groundnut
Loamy,17.41,45.97,57.81,6.69,Rabi,Central,Low,Mustard
Red,31.25,49.24,42.86,6.92,Kharif,West,Low,Millet
Loamy,10.55,42.86,76.16,7.32,Rabi,North,Low,Mustard
Sandy,20.31,36.58,74.93,7.16,Rabi,Central,Low,Mustard
Red,30.88,55.93,32.81,5.85,Kharif,South,Low,Millet
Loamy,31.51,65.42,196.55,6.96,Zaid,North,High,Sugarcane
Loamy,13.51,64.04,83.74,7.43,Rabi,North,Medium,Wheat
Loamy,21.92,63.55,91.82,7.0,Rabi,Central,Medium,Wheat
Black,24.81,56.5,60.89,6.97,Kharif,West,Low,Cotton
Red,30.57,50.07,50.42,7.22,Kharif,West,Low,Millet
Loamy,27.9,61.54,151.71,6.7,Zaid,South,High,Sugarcane
Sandy,31.77,45.29,85.81,7.19,Kharif,South,Low,Groundnut
Loamy,27.56,61.9,82.82,7.0,Kharif,Central,Medium,Soybean
Black,23.88,74.57,107.1,6.65,Kharif,West,Medium,Soybean
Sandy,25.26,63.37,93.99,7.21,Zaid,South,Medium,Groundnut
Loamy,30.93,68.7,55.49,6.52,Kharif,West,Medium,Cotton
Sandy,24.03,62.56,91.45,6.51,Kharif,West,Medium,Groundnut
Sandy,24.47,51.97,59.18,7.05,Rabi,Central,Low,Mustard
Sandy,29.85,40.11,73.57,5.89,Kharif,West,Low,Millet
Sandy,16.91,51.35,81.44,6.47,Rabi,North,Low,Barley
Sandy,15.98,43.16,61.6,6.29,Rabi,West,Medium,Barley
Clay,16.57,52.95,90.93,6.19,Rabi,West,Medium,Wheat
Loamy,18.18,36.19,63.41,7.29,Rabi,West,Low,Mustard
Sandy,24.8,62.27,64.42,7.26,Zaid,West,Low,Groundnut
Sandy,18.61,58.99,73.45,7.09,Rabi,North,Low,Barley
Black,22.5,50.92,81.66,5.95,Kharif,Central,Low,Cotton
Loamy,30.33,64.28,151.09,6.88,Kharif,North,High,Sugarcane
Loamy,33.11,82.67,168.82,7.04,Zaid,East,High,Sugarcane
Red,25.04,64.38,76.92,6.07,Kharif,West,Low,Groundnut
Clay,23.78,54.38,112.77,6.71,Rabi,North,Low,Wheat
Loamy,27.45,65.81,134.33,7.46,Zaid,North,Medium,Maize
Loamy,28.46,69.42,83.92,6.55,Kharif,West,Medium,Soybean
Clay,23.4,79.56,238.36,5.42,Kharif,East,High,Rice
Sandy,11.12,41.46,49.28,6.38,Rabi,North,Low,Barley
Sandy,13.26,47.15,63.95,6.99,Rabi,North,Medium,Barley
Clay,21.88,72.78,106.53,6.54,Zaid,South,High,Sugarcane
Sandy,24.7,41.75,51.55,6.18,Rabi,Central,Low,Mustard
Black,29.15,57.52,78.33,7.6,Kharif,South,Low,Cotton
Loamy,26.62,58.12,85.53,7.32,Kharif,Central,Medium,Soybean
Loamy,18.91,43.01,52.85,7.55,Rabi,North,Medium,Barley
Loamy,18.24,58.1,54.75,7.32,Rabi,North,Medium,Barley
Loamy,24.78,76.09,239.91,6.1,Kharif,East,High,Rice
Red,31.11,61.76,98.77,6.34,Kharif,South,Low,Groundnut
Loamy,26.97,72.69,231.15,5.12,Kharif,South,High,Rice
Sandy,21.81,48.17,58.08,7.47,Rabi,West,Low,Mustard
Sandy,27.35,56.14,78.46,5.55,Zaid,South,Medium,Maize
Loamy,30.55,69.36,75.01,6.98,Kharif,Central,Low,Cotton
Loamy,19.13,60.31,130.04,6.07,Zaid,South,Medium,Maize
Loamy,27.68,73.42,108.52,6.92,Kharif,South,Medium,Maize
Loamy,22.57,72.84,122.57,7.25,Kharif,West,Medium,Soybean
Loamy,25.0,50.24,30.95,7.62,Rabi,Central,Low,Mustard
Loamy,19.94,49.53,65.44,7.44,Rabi,North,Low,Barley
Sandy,28.36,64.67,103.75,7.05,Kharif,West,Medium,Groundnut
Loamy,19.83,67.19,63.79,6.07,Kharif,North,Medium,Maize
Clay,24.84,80.05,205.53,6.85,Zaid,North,High,Sugarcane
Clay,27.61,85.84,289.74,5.79,Kharif,East,Medium,Rice
Loamy,20.75,68.58,127.32,6.79,Kharif,West,Medium,Soybean
Loamy,22.87,71.34,165.62,7.65,Kharif,East,High,Sugarcane
Clay,27.8,65.07,182.23,6.99,Zaid,East,High,Sugarcane
Loamy,30.67,63.51,136.85,6.8,Kharif,North,High,Sugarcane
Clay,15.78,56.28,97.37,6.1,Rabi,West,Medium,Wheat
Clay,31.86,79.3,316.91,5.74,Kharif,East,Medium,Rice
Loamy,23.36,52.09,75.1,6.51,Kharif,South,Low,Cotton
Sandy,10.21,39.32,65.61,7.54,Rabi,North,Low,Mustard
Loamy,17.89,55.59,87.56,6.65,Rabi,West,Medium,Wheat
Black,32.63,46.29,78.66,7.75,Kharif,West,Low,Cotton
Clay,24.95,63.09,122.34,6.6,Kharif,North,High,Sugarcane
Red,30.88,56.88,99.47,6.33,Zaid,South,Low,Groundnut
Sandy,27.09,46.05,46.12,6.88,Kharif,West,Low,Millet
Red,28.64,48.96,37.22,7.13,Kharif,West,Low,Millet
Sandy,29.14,62.46,104.34,7.32,Kharif,South,Low,Groundnut
Clay,27.15,75.12,311.05,5.3,Kharif,South,High,Rice
Loamy,12.63,45.01,80.54,7.16,Rabi,North,Medium,Wheat
Loamy,13.09,52.55,50.38,6.17,Rabi,Central,Low,Mustard
Red,31.19,60.26,75.99,6.41,Zaid,West,Low,Groundnut
Loamy,11.67,58.2,66.57,7.17,Rabi,West,Low,Barley
Loamy,19.94,59.4,62.96,7.27,Rabi,North,Medium,Barley
Red,33.7,37.68,64.46,5.81,Kharif,South,Low,Millet
Loamy,19.76,51.85,78.57,6.66,Rabi,West,Medium,Wheat
Black,26.07,58.53,127.0,6.42,Kharif,Central,Medium,Soybean
Sandy,22.68,63.27,138.12,5.87,Zaid,North,Medium,Maize
Sandy,25.32,69.42,124.84,6.92,Kharif,North,Medium,Maize
Loamy,26.45,55.11,67.49,7.28,Zaid,Central,Medium,Maize
Red,23.17,63.48,60.43,6.55,Kharif,South,Low,Groundnut
Loamy,23.66,75.69,201.51,5.21,Kharif,North,Medium,Rice
Clay,22.95,49.24,82.89,7.1,Rabi,West,Low,Wheat
Sandy,19.41,55.96,100.23,6.51,Kharif,South,Medium,Maize
Loamy,21.02,42.83,72.51,7.34,Rabi,Central,Low,Mustard
Black,25.76,51.25,81.65,6.63,Kharif,South,Medium,Cotton
Loamy,21.05,65.58,91.81,6.4,Kharif,West,Medium,Soybean
Sandy,16.54,53.21,61.53,6.44,Rabi,West,Medium,Barley
Sandy,25.39,57.02,54.79,6.33,Zaid,South,Low,Groundnut
Red,24.51,54.0,74.23,7.49,Kharif,South,Low,Millet
Loamy,24.89,70.71,70.49,7.4,Kharif,Central,Medium,Soybean
Loamy,17.2,40.49,48.35,7.64,Rabi,West,Low,Mustard
Sandy,29.09,48.14,100.76,7.43,Kharif,West,Low,Groundnut
Black,20.77,57.84,142.01,7.33,Kharif,West,Medium,Soybean
Red,32.85,41.48,66.31,6.32,Kharif,Central,Low,Millet
Sandy,11.56,53.9,53.69,6.69,Rabi,North,Low,Barley
Black,20.57,68.35,99.47,6.98,Kharif,Central,Medium,Soybean
Loamy,20.99,38.76,49.41,6.96,Rabi,West,Low,Mustard
Black,29.64,61.13,71.88,6.38,Kharif,Central,Medium,Soybean
Sandy,19.47,45.63,74.76,7.82,Rabi,West,Low,Barley
Loamy,21.28,51.24,57.11,6.28,Kharif,South,Medium,Cotton
Sandy,28.44,50.58,107.91,6.31,Zaid,West,Low,Groundnut
Sandy,13.01,49.06,44.39,7.44,Rabi,West,Medium,Barley
Loamy,19.13,62.56,76.21,6.15,Rabi,West,Low,Wheat
Loamy,28.92,69.84,64.7,6.36,Zaid,Central,Medium,Maize
Black,21.15,59.88,109.47,6.37,Kharif,South,Medium,Cotton
Red,24.78,42.93,82.37,6.66,Kharif,Central,Low,Millet
Sandy,26.01,51.65,102.2,6.73,Kharif,West,Low,Groundnut
Sandy,18.16,35.81,34.55,7.12,Rabi,West,Low,Mustard
Black,21.71,68.08,103.02,6.95,Kharif,Central,Low,Cotton
Sandy,24.48,40.49,67.15,6.57,Rabi,Central,Low,Mustard
Sandy,26.46,42.77,39.64,6.11,Kharif,South,Low,Millet
Clay,29.79,82.85,289.06,5.24,Kharif,North,Medium,Rice
Black,23.82,70.19,130.23,6.13,Kharif,Central,Medium,Soybean
Loamy,25.28,66.46,126.37,5.55,Kharif,South,Medium,Maize
Sandy,17.77,40.81,64.78,7.31,Rabi,North,Medium,Barley
Loamy,26.78,85.23,306.47,6.3,Kharif,East,Medium,Rice
Sandy,25.97,45.35,77.21,7.32,Kharif,Central,Low,Millet
Sandy,22.9,68.73,86.68,6.16,Zaid,South,Medium,Maize
Clay,27.74,66.77,158.68,6.07,Kharif,East,High,Sugarcane
Loamy,15.16,35.11,79.02,7.09,Rabi,West,Low,Mustard
Sandy,23.04,54.42,50.22,6.59,Rabi,North,Low,Mustard
Loamy,22.92,61.99,128.95,6.78,Kharif,Central,Medium,Maize
Loamy,22.1,54.62,60.84,6.57,Kharif,Central,Medium,Cotton
Red,30.44,38.87,83.14,6.24,Kharif,Central,Low,Millet
Loamy,20.96,80.86,162.81,7.63,Zaid,North,High,Sugarcane
Sandy,19.3,55.63,123.44,7.2,Zaid,Central,Medium,Maize
Loamy,11.29,38.17,32.3,7.68,Rabi,Central,Low,Mustard
Red,22.61,58.11,80.3,6.68,Zaid,West,Medium,Groundnut
Loamy,31.09,80.59,283.92,6.06,Kharif,East,Medium,Rice
Red,30.39,45.42,33.09,7.37,Kharif,West,Low,Millet
Loamy,21.17,58.91,80.74,7.58,Kharif,Central,Medium,Cotton
Black,26.87,59.96,112.03,7.19,Kharif,Central,Medium,Soybean
Loamy,22.02,71.14,101.61,7.19,Kharif,South,Medium,Maize
Loamy,23.3,47.41,112.73,6.15,Rabi,North,Medium,Wheat
Sandy,34.99,42.36,41.04,6.06,Kharif,Central,Low,Millet
Sandy,28.32,73.32,76.31,6.56,Zaid,Central,Medium,Maize
Sandy,21.93,62.56,93.42,6.01,Kharif,South,Medium,Maize
Clay,13.73,62.58,56.73,6.23,Rabi,North,Low,Wheat
Sandy,27.06,55.63,92.39,6.73,Zaid,West,Medium,Groundnut
Loamy,18.83,56.8,109.46,6.01,Rabi,North,Medium,Wheat
Sandy,11.54,49.77,73.79,7.67,Rabi,West,Low,Mustard
Loamy,28.41,65.38,97.74,7.26,Kharif,Central,Medium,Soybean
Loamy,19.57,51.29,135.63,6.03,Kharif,Central,Medium,Maize
Sandy,29.84,61.46,67.42,6.62,Kharif,North,Medium,Maize
Clay,16.92,49.38,107.12,7.29,Rabi,West,Medium,Wheat
Sandy,31.99,51.05,51.58,6.77,Kharif,South,Low,Groundnut
Clay,26.31,78.78,155.75,6.62,Zaid,South,High,Sugarcane
Red,30.75,53.15,50.13,5.52,Kharif,Central,Low,Millet
Sandy,20.37,46.07,73.76,6.93,Rabi,West,Medium,Barley
Clay,26.59,81.37,199.57,5.21,Kharif,North,High,Rice
Clay,23.9,45.08,51.16,7.49,Rabi,West,Low,Wheat
Loamy,31.94,54.43,50.74,6.92,Kharif,West,Low,Cotton
Loamy,21.64,59.23,78.88,7.03,Kharif,North,Medium,Maize
Sandy,27.05,52.44,97.46,5.9,Zaid,North,Medium,Maize
Black,28.68,49.01,86.62,7.54,Kharif,Central,Low,Cotton
Sandy,19.68,66.94,125.16,5.97,Zaid,North,Medium,Maize
Loamy,30.86,48.73,82.0,7.28,Kharif,West,Medium,Cotton
Red,24.61,36.0,43.64,7.19,Kharif,Central,Low,Millet
Red,29.52,47.99,78.17,7.1,Kharif,West,Medium,Groundnut
Loamy,29.0,55.56,83.62,6.55,Kharif,West,Medium,Cotton
Loamy,21.76,68.9,108.85,7.43,Kharif,West,Medium,Cotton
Sandy,23.9,63.22,108.16,6.98,Kharif,North,Medium,Maize
Red,25.88,52.86,55.76,6.4,Zaid,South,Medium,Groundnut
Sandy,30.73,53.83,86.16,5.73,Kharif,West,Low,Millet
Red,24.73,45.06,75.67,6.02,Zaid,South,Medium,Groundnut
Sandy,30.93,47.66,102.7,7.26,Zaid,South,Medium,Groundnut
Loamy,22.01,80.16,248.53,5.6,Kharif,South,High,Rice
Loamy,27.75,61.62,85.1,7.09,Kharif,Central,Medium,Soybean
Sandy,24.19,41.86,87.32,6.13,Kharif,Central,Low,Millet
Red,25.89,55.14,68.85,7.28,Zaid,South,Medium,Groundnut
Loamy,32.83,76.23,211.39,6.75,Zaid,North,High,Sugarcane
Black,23.85,61.49,127.36,7.08,Kharif,West,Medium,Soybean
Loamy,31.48,79.98,215.43,6.45,Zaid,East,High,Sugarcane
Clay,21.86,83.85,134.18,6.64,Kharif,East,High,Sugarcane
Loamy,20.92,45.46,118.55,6.57,Rabi,North,Low,Wheat
Red,28.06,53.66,87.49,6.67,Zaid,West,Medium,Groundnut
Loamy,23.78,35.42,38.17,7.28,Rabi,Central,Low,Mustard
Red,32.35,43.59,51.86,7.49,Kharif,Central,Low,Millet
Loamy,33.43,77.68,218.55,7.75,Kharif,South,High,Sugarcane
Sandy,18.59,35.77,74.84,7.72,Rabi,West,Low,Mustard
Loamy,29.43,48.34,91.63,7.66,Kharif,Central,Medium,Cotton
Black,29.05,56.68,86.86,6.78,Kharif,West,Medium,Cotton
Loamy,20.67,72.95,142.83,6.82,Kharif,West,Medium,Soybean
Clay,20.44,78.07,165.4,6.49,Kharif,North,High,Sugarcane
Red,27.38,45.79,63.26,6.61,Kharif,Central,Low,Millet
Black,20.63,73.89,86.62,7.02,Kharif,West,Medium,Soybean
Sandy,13.44,42.72,67.47,6.89,Rabi,West,Medium,Barley
